Views,Date,Time
1800,2019-06-11,14:50
2400,2019-06-11,15:10
2600,2019-06-11,15:19
2700,2019-06-11,15:29
3000,2019-06-11,15:46
2700,2019-06-11,15:55
3300,2019-06-11,16:18
3600,2019-06-11,16:32
4000,2019-06-11,16:40
4100,2019-06-11,16:51
4800,2019-06-11,16:53
5800,2019-06-11,17:11
5900,2019-06-11,17:40
6000,2019-06-11,23:57
6100,2019-06-12,00:03
6200,2019-06-12,00:31
6900,2019-06-12,00:40
6800,2019-06-12,00:53
10600,2019-06-12,01:15
6800,2019-06-12,01:16
4800,2019-06-11,16:53
5800,2019-06-11,17:11
5900,2019-06-11,17:40
6000,2019-06-11,23:57
6100,2019-06-12,00:03
6200,2019-06-12,00:31
6900,2019-06-12,00:40
6800,2019-06-12,00:53
10600,2019-06-12,01:15
6800,2019-06-12,01:16
7400,2019-06-12,01:19
8100,2019-06-12,01:22
9000,2019-06-12,01:42
7700,2019-06-12,01:44
28500,2019-06-12,01:52
7700,2019-06-12,02:03
8800,2019-06-12,02:18
11300,2019-06-12,02:20
10800,2019-06-12,02:25
8600,2019-06-12,02:32
6200,2019-06-12,00:31
6900,2019-06-12,00:40
6800,2019-06-12,00:53
10600,2019-06-12,01:15
6800,2019-06-12,01:16
7400,2019-06-12,01:19
8100,2019-06-12,01:22
9000,2019-06-12,01:42
7700,2019-06-12,01:44
28500,2019-06-12,01:52
7700,2019-06-12,02:03
8800,2019-06-12,02:18
11300,2019-06-12,02:20
10800,2019-06-12,02:25
8600,2019-06-12,02:32
9800,2019-06-12,02:41
8500,2019-06-12,02:46
30100,2019-06-12,02:49
11800,2019-06-12,02:55
20400,2019-06-12,02:59
7400,2019-06-12,01:19
8100,2019-06-12,01:22
9000,2019-06-12,01:42
7700,2019-06-12,01:44
28500,2019-06-12,01:52
7700,2019-06-12,02:03
8800,2019-06-12,02:18
11300,2019-06-12,02:20
10800,2019-06-12,02:25
8600,2019-06-12,02:32
9800,2019-06-12,02:41
8500,2019-06-12,02:46
30100,2019-06-12,02:49
11800,2019-06-12,02:55
20400,2019-06-12,02:59
12100,2019-06-12,03:00
8900,2019-06-12,03:10
9300,2019-06-12,03:41
10400,2019-06-12,03:44
9600,2019-06-12,03:46
7700,2019-06-12,02:03
8800,2019-06-12,02:18
11300,2019-06-12,02:20
10800,2019-06-12,02:25
8600,2019-06-12,02:32
9800,2019-06-12,02:41
8500,2019-06-12,02:46
30100,2019-06-12,02:49
11800,2019-06-12,02:55
20400,2019-06-12,02:59
12100,2019-06-12,03:00
8900,2019-06-12,03:10
9300,2019-06-12,03:41
10400,2019-06-12,03:44
9600,2019-06-12,03:46
9500,2019-06-12,03:58
12300,2019-06-12,04:03
10100,2019-06-12,04:14
12600,2019-06-12,04:16
20100,2019-06-12,04:36
9800,2019-06-12,02:41
8500,2019-06-12,02:46
30100,2019-06-12,02:49
11800,2019-06-12,02:55
20400,2019-06-12,02:59
12100,2019-06-12,03:00
8900,2019-06-12,03:10
9300,2019-06-12,03:41
10400,2019-06-12,03:44
9600,2019-06-12,03:46
9500,2019-06-12,03:58
12300,2019-06-12,04:03
10100,2019-06-12,04:14
12600,2019-06-12,04:16
20100,2019-06-12,04:36
14200,2019-06-12,04:44
13600,2019-06-12,04:47
14000,2019-06-12,04:52
12500,2019-06-12,04:53
13400,2019-06-12,05:07
12100,2019-06-12,03:00
8900,2019-06-12,03:10
9300,2019-06-12,03:41
10400,2019-06-12,03:44
9600,2019-06-12,03:46
9500,2019-06-12,03:58
12300,2019-06-12,04:03
10100,2019-06-12,04:14
12600,2019-06-12,04:16
20100,2019-06-12,04:36
14200,2019-06-12,04:44
13600,2019-06-12,04:47
14000,2019-06-12,04:52
12500,2019-06-12,04:53
13400,2019-06-12,05:07
12200,2019-06-12,06:21
12600,2019-06-12,06:23
11800,2019-06-12,06:52
17700,2019-06-12,06:55
14600,2019-06-12,07:01
9600,2019-06-12,03:46
9500,2019-06-12,03:58
12300,2019-06-12,04:03
10100,2019-06-12,04:14
12600,2019-06-12,04:16
20100,2019-06-12,04:36
14200,2019-06-12,04:44
13600,2019-06-12,04:47
14000,2019-06-12,04:52
12500,2019-06-12,04:53
13400,2019-06-12,05:07
12200,2019-06-12,06:21
12600,2019-06-12,06:23
11800,2019-06-12,06:52
17700,2019-06-12,06:55
14600,2019-06-12,07:01
16300,2019-06-12,07:11
17300,2019-06-12,07:12
13000,2019-06-12,07:24
13200,2019-06-12,07:29
20100,2019-06-12,04:36
14200,2019-06-12,04:44
13600,2019-06-12,04:47
14000,2019-06-12,04:52
12500,2019-06-12,04:53
13400,2019-06-12,05:07
12200,2019-06-12,06:21
12600,2019-06-12,06:23
11800,2019-06-12,06:52
17700,2019-06-12,06:55
14600,2019-06-12,07:01
16300,2019-06-12,07:11
17300,2019-06-12,07:12
13000,2019-06-12,07:24
13200,2019-06-12,07:29
11400,2019-06-12,07:35
14200,2019-06-12,07:45
14200,2019-06-12,07:45
12000,2019-06-12,07:47
13600,2019-06-12,07:51
13400,2019-06-12,05:07
12200,2019-06-12,06:21
12600,2019-06-12,06:23
11800,2019-06-12,06:52
17700,2019-06-12,06:55
14600,2019-06-12,07:01
