Day,telegram: (Hong Kong),反 送 中: (Hong Kong)
2019-03-01,5,0
2019-03-02,2,0
2019-03-03,4,0
2019-03-04,5,0
2019-03-05,3,0
2019-03-06,3,0
2019-03-07,3,0
2019-03-08,3,0
2019-03-09,3,0
2019-03-10,3,0
2019-03-11,4,0
2019-03-12,3,0
2019-03-13,3,0
2019-03-14,5,0
2019-03-15,4,0
2019-03-16,3,0
2019-03-17,4,0
2019-03-18,3,0
2019-03-19,4,0
2019-03-20,3,0
2019-03-21,4,0
2019-03-22,3,0
2019-03-23,3,0
2019-03-24,2,0
2019-03-25,3,0
2019-03-26,5,0
2019-03-27,4,0
2019-03-28,4,0
2019-03-29,3,0
2019-03-30,3,0
2019-03-31,3,0
2019-04-01,4,0
2019-04-02,4,0
2019-04-03,3,0
2019-04-04,5,0
2019-04-05,4,0
2019-04-06,3,0
2019-04-07,3,0
2019-04-08,5,0
2019-04-09,4,0
2019-04-10,3,0
2019-04-11,6,0
2019-04-12,4,0
2019-04-13,3,0
2019-04-14,3,0
2019-04-15,4,0
2019-04-16,2,0
2019-04-17,3,0
2019-04-18,2,0
2019-04-19,3,0
2019-04-20,4,0
2019-04-21,3,0
2019-04-22,4,0
2019-04-23,4,0
2019-04-24,4,<1
2019-04-25,3,<1
2019-04-26,3,<1
2019-04-27,3,1
2019-04-28,4,2
2019-04-29,3,1
2019-04-30,4,<1
2019-05-01,3,0
2019-05-02,2,1
2019-05-03,3,<1
2019-05-04,3,1
2019-05-05,3,1
2019-05-06,4,0
2019-05-07,3,0
2019-05-08,4,<1
2019-05-09,4,<1
2019-05-10,4,0
2019-05-11,3,0
2019-05-12,3,1
2019-05-13,3,0
2019-05-14,4,0
2019-05-15,4,<1
2019-05-16,4,0
2019-05-17,3,<1
2019-05-18,3,1
2019-05-19,4,0
2019-05-20,4,<1
2019-05-21,4,<1
2019-05-22,4,<1
2019-05-23,3,<1
2019-05-24,4,<1
2019-05-25,2,1
2019-05-26,3,1
2019-05-27,3,1
2019-05-28,5,2
2019-05-29,4,2
2019-05-30,4,2
2019-05-31,3,1
2019-06-01,4,1
2019-06-02,2,1
2019-06-03,3,2
2019-06-04,4,2
2019-06-05,5,2
2019-06-06,4,4
2019-06-07,5,7
2019-06-08,3,18
2019-06-09,4,100
2019-06-10,7,29
2019-06-11,15,44
2019-06-12,24,94
2019-06-13,21,47
2019-06-14,13,29
2019-06-15,6,39
2019-06-16,7,63
2019-06-17,5,22
2019-06-18,9,13
2019-06-19,5,10
2019-06-20,4,8
2019-06-21,8,13
2019-06-22,5,10
2019-06-23,7,4
2019-06-24,6,5
2019-06-25,5,6
2019-06-26,6,7
2019-06-27,7,6
2019-06-28,6,5
2019-06-29,7,17
2019-06-30,5,17
2019-07-01,8,32
2019-07-02,9,15
2019-07-03,9,10
2019-07-04,7,10
2019-07-05,8,14
2019-07-06,8,14
2019-07-07,7,12
2019-07-08,8,8
2019-07-09,6,6
2019-07-10,6,6
2019-07-11,8,5
2019-07-12,8,4
2019-07-13,6,8
2019-07-14,6,11
2019-07-15,8,8
2019-07-16,6,7
2019-07-17,10,6
2019-07-18,8,6
2019-07-19,8,5
2019-07-20,11,6
2019-07-21,11,16
2019-07-22,18,12
2019-07-23,13,7
2019-07-24,12,8
2019-07-25,8,8
2019-07-26,9,8
2019-07-27,10,12
2019-07-28,11,12
2019-07-29,13,10
2019-07-30,10,9
2019-07-31,11,7
2019-08-01,15,9
2019-08-02,9,6
2019-08-03,12,13
2019-08-04,16,18
2019-08-05,17,24
2019-08-06,15,14
2019-08-07,12,10
2019-08-08,12,9
2019-08-09,15,9
2019-08-10,12,10
2019-08-11,18,18
2019-08-12,19,17
2019-08-13,13,14
2019-08-14,10,13
2019-08-15,11,12
2019-08-16,11,14
2019-08-17,8,14
2019-08-18,9,19
2019-08-19,9,10
2019-08-20,9,8
2019-08-21,9,8
2019-08-22,12,5
2019-08-23,17,8
2019-08-24,10,12
2019-08-25,12,13
2019-08-26,13,8
2019-08-27,10,9
2019-08-28,12,9
2019-08-29,11,9
2019-08-30,13,6
2019-08-31,20,19
2019-09-01,17,11
2019-09-02,13,12
2019-09-03,9,8
2019-09-04,13,15
2019-09-05,9,9
2019-09-06,11,12
2019-09-07,8,10
2019-09-08,11,13
2019-09-09,9,8
2019-09-10,11,7
2019-09-11,7,7
2019-09-12,8,8
2019-09-13,9,10
2019-09-14,11,8
2019-09-15,12,9
2019-09-16,9,7
2019-09-17,8,4
2019-09-18,11,7
2019-09-19,7,5
2019-09-20,9,7
2019-09-21,8,10
2019-09-22,8,9
2019-09-23,8,4
2019-09-24,6,6
2019-09-25,9,6
2019-09-26,6,7
2019-09-27,8,6
2019-09-28,9,6
2019-09-29,9,12
2019-09-30,13,8
2019-10-01,25,21
2019-10-02,12,16
2019-10-03,12,11
2019-10-04,20,19
2019-10-05,18,18
2019-10-06,20,15
2019-10-07,15,12
2019-10-08,11,7
2019-10-09,11,6
2019-10-10,10,7
2019-10-11,10,8
2019-10-12,8,10
2019-10-13,11,10
2019-10-14,10,6
2019-10-15,7,5
2019-10-16,7,4
2019-10-17,9,5
2019-10-18,7,4
2019-10-19,7,5
2019-10-20,10,9
2019-10-21,8,6
2019-10-22,8,3
2019-10-23,6,5
2019-10-24,8,3
2019-10-25,7,4
2019-10-26,9,4
2019-10-27,7,7
2019-10-28,8,2
2019-10-29,6,4
2019-10-30,6,2
2019-10-31,9,4
2019-11-01,7,4
