Category: All categories

Week,反 送 中: (Hong Kong),telegram: (Hong Kong)
2019-01-06,0,7
2019-01-13,0,6
2019-01-20,0,7
2019-01-27,0,5
2019-02-03,0,6
2019-02-10,0,6
2019-02-17,<1,6
2019-02-24,0,7
2019-03-03,0,6
2019-03-10,0,6
2019-03-17,0,7
2019-03-24,0,6
2019-03-31,0,7
2019-04-07,<1,7
2019-04-14,0,7
2019-04-21,<1,6
2019-04-28,1,6
2019-05-05,<1,7
2019-05-12,<1,7
2019-05-19,<1,7
2019-05-26,3,7
2019-06-02,9,8
2019-06-09,100,24
2019-06-16,35,11
2019-06-23,12,13
2019-06-30,28,13
2019-07-07,13,13
2019-07-14,14,16
2019-07-21,18,22
2019-07-28,16,21
2019-08-04,25,26
2019-08-11,28,24
2019-08-18,17,19
2019-08-25,18,25
2019-09-01,20,21
2019-09-08,15,17
2019-09-15,12,16
2019-09-22,13,15
2019-09-29,26,29
2019-10-06,17,22
2019-10-13,11,15
2019-10-20,9,16
2019-10-27,13,12
