Views,Date,Time
1800,2019-10-01,00:52
51400,2019-10-01,01:10
1800,2019-10-01,03:18
51400,2019-10-01,03:18
6900,2019-10-01,00:52
3200,2019-10-01,01:10
39600,2019-10-01,03:18
1800,2019-10-01,03:18
51400,2019-10-01,03:24
6900,2019-10-01,03:43
3200,2019-10-01,19:53
39600,2019-10-01,00:52
4600,2019-10-01,01:10
24800,2019-10-01,03:18
11100,2019-10-01,03:18
6900,2019-10-01,03:24
1800,2019-10-01,03:43
51400,2019-10-01,19:53
6900,2019-10-02,04:49
3200,2019-10-02,04:51
39600,2019-10-02,04:59
4600,2019-10-02,07:08
24800,2019-10-01,00:52
11100,2019-10-01,01:10
6900,2019-10-01,03:18
3100,2019-10-01,03:18
3200,2019-10-01,03:24
62500,2019-10-01,03:43
1800,2019-10-01,19:53
51400,2019-10-02,04:49
6900,2019-10-02,04:51
3200,2019-10-02,04:59
39600,2019-10-02,07:08
4600,2019-10-02,08:19
24800,2019-10-02,11:30
11100,2019-10-02,12:12
6900,2019-10-01,00:52
3100,2019-10-01,01:10
3200,2019-10-01,03:18
62500,2019-10-01,03:18
3100,2019-10-01,03:24
3100,2019-10-01,03:43
39400,2019-10-01,19:53
4400,2019-10-02,04:49
3300,2019-10-02,04:51
51400,2019-10-02,04:59
6900,2019-10-02,07:08
3200,2019-10-02,08:19
39600,2019-10-02,11:30
4600,2019-10-02,12:12
24800,2019-10-02,13:57
11100,2019-10-02,14:46
6900,2019-10-02,15:45
3100,2019-10-03,00:30
3200,2019-10-03,02:41
62500,2019-10-01,03:18
3100,2019-10-01,03:24
3100,2019-10-01,03:43
39400,2019-10-01,19:53
4400,2019-10-02,04:49
3300,2019-10-02,04:51
8300,2019-10-02,04:59
2600,2019-10-02,07:08
39600,2019-10-02,08:19
4600,2019-10-02,11:30
24800,2019-10-02,12:12
11100,2019-10-02,13:57
6900,2019-10-02,14:46
3100,2019-10-02,15:45
3200,2019-10-03,00:30
62500,2019-10-03,02:41
3100,2019-10-03,04:30
3100,2019-10-03,04:53
39400,2019-10-01,19:53
4400,2019-10-02,04:49
3300,2019-10-02,04:51
8300,2019-10-02,04:59
2600,2019-10-02,07:08
2900,2019-10-02,08:19
6900,2019-10-02,11:30
11100,2019-10-02,12:12
6900,2019-10-02,13:57
3100,2019-10-02,14:46
3200,2019-10-02,15:45
62500,2019-10-03,00:30
3100,2019-10-03,02:41
3100,2019-10-03,04:30
39400,2019-10-03,04:53
4400,2019-10-03,07:00
3300,2019-10-03,07:10
8300,2019-10-02,04:59
2600,2019-10-02,07:08
2900,2019-10-02,08:19
6900,2019-10-02,11:30
33700,2019-10-02,12:12
2900,2019-10-02,13:57
3400,2019-10-02,14:46
3100,2019-10-02,15:45
3100,2019-10-03,00:30
39400,2019-10-03,02:41
4400,2019-10-03,04:30
3300,2019-10-03,04:53
8300,2019-10-03,07:00
2600,2019-10-03,07:10
2900,2019-10-03,09:30
6900,2019-10-03,10:37
33700,2019-10-03,10:50
2900,2019-10-02,13:57
3400,2019-10-02,14:46
2900,2019-10-02,15:45
5900,2019-10-03,00:30
3900,2019-10-03,02:41
3400,2019-10-03,04:30
4200,2019-10-03,04:53
8300,2019-10-03,07:00
2600,2019-10-03,07:10
2900,2019-10-03,09:30
6900,2019-10-03,10:37
33700,2019-10-03,10:50
2900,2019-10-03,10:56
3400,2019-10-03,11:03
2900,2019-10-03,12:03
5900,2019-10-03,12:25
3900,2019-10-03,13:00
3400,2019-10-03,04:30
4200,2019-10-03,04:53
30600,2019-10-03,07:00
3700,2019-10-03,07:10
29300,2019-10-03,09:30
2900,2019-10-03,10:37
6900,2019-10-03,10:50
33700,2019-10-03,10:56
2900,2019-10-03,11:03
3400,2019-10-03,12:03
2900,2019-10-03,12:25
5900,2019-10-03,13:00
3900,2019-10-03,13:43
3400,2019-10-03,14:00
4200,2019-10-03,15:01
30600,2019-10-03,15:13
3700,2019-10-03,07:00
29300,2019-10-03,07:10
5100,2019-10-03,09:30
62200,2019-10-03,10:37
4900,2019-10-03,10:50
4000,2019-10-03,10:56
3400,2019-10-03,11:03
2900,2019-10-03,12:03
5900,2019-10-03,12:25
3900,2019-10-03,13:00
3400,2019-10-03,13:43
4200,2019-10-03,14:00
30600,2019-10-03,15:01
3700,2019-10-03,15:13
29300,2019-10-04,00:10
5100,2019-10-04,02:02
62200,2019-10-04,04:07
4900,2019-10-04,06:08
4000,2019-10-03,10:50
4600,2019-10-03,10:56
4600,2019-10-03,11:03
4700,2019-10-03,12:03
52700,2019-10-03,12:25
4200,2019-10-03,13:00
30600,2019-10-03,13:43
3700,2019-10-03,14:00
29300,2019-10-03,15:01
5100,2019-10-03,15:13
62200,2019-10-04,00:10
4900,2019-10-04,02:02
4000,2019-10-04,04:07
4600,2019-10-04,06:08
4600,2019-10-04,07:00
4700,2019-10-04,08:47
52700,2019-10-05,00:35
8400,2019-10-05,01:26
4200,2019-10-03,13:00
4000,2019-10-03,13:43
4400,2019-10-03,14:00
9000,2019-10-03,15:01
29300,2019-10-03,15:13
5100,2019-10-04,00:10
62200,2019-10-04,02:02
4900,2019-10-04,04:07
4000,2019-10-04,06:08
4600,2019-10-04,07:00
4600,2019-10-04,08:47
4700,2019-10-05,00:35
52700,2019-10-05,01:26
8400,2019-10-05,04:06
4200,2019-10-05,06:00
4000,2019-10-05,06:01
4400,2019-10-05,06:05
9000,2019-10-05,06:10
14400,2019-10-03,15:13
27500,2019-10-04,00:10
28600,2019-10-04,02:02
31000,2019-10-04,04:07
4000,2019-10-04,06:08
4600,2019-10-04,07:00
4600,2019-10-04,08:47
4700,2019-10-05,00:35
52700,2019-10-05,01:26
8400,2019-10-05,04:06
4200,2019-10-05,06:00
4000,2019-10-05,06:01
4400,2019-10-05,06:05
9000,2019-10-05,06:10
14400,2019-10-05,10:32
27500,2019-10-05,11:05
28600,2019-10-05,12:45
31000,2019-10-05,15:08
7200,2019-10-04,06:08
14700,2019-10-04,07:00
42800,2019-10-04,08:47
52700,2019-10-05,00:35
8400,2019-10-05,01:26
4200,2019-10-05,04:06
4000,2019-10-05,06:00
4400,2019-10-05,06:01
9000,2019-10-05,06:05
14400,2019-10-05,06:10
27500,2019-10-05,10:32
28600,2019-10-05,11:05
31000,2019-10-05,12:45
7200,2019-10-05,15:08
14700,2019-10-06,00:46
42800,2019-10-06,02:05
7000,2019-10-06,04:53
6100,2019-10-05,01:26
5700,2019-10-05,04:06
8200,2019-10-05,06:00
9000,2019-10-05,06:01
14400,2019-10-05,06:05
27500,2019-10-05,06:10
28600,2019-10-05,10:32
31000,2019-10-05,11:05
7200,2019-10-05,12:45
14700,2019-10-05,15:08
42800,2019-10-06,00:46
7000,2019-10-06,02:05
6100,2019-10-06,04:53
5700,2019-10-06,05:59
8200,2019-10-06,06:29
27400,2019-10-06,07:02
41200,2019-10-06,07:20
32600,2019-10-05,06:10
36300,2019-10-05,10:32
31000,2019-10-05,11:05
7200,2019-10-05,12:45
14700,2019-10-05,15:08
42800,2019-10-06,00:46
7000,2019-10-06,02:05
6100,2019-10-06,04:53
5700,2019-10-06,05:59
8200,2019-10-06,06:29
27400,2019-10-06,07:02
41200,2019-10-06,07:20
32600,2019-10-06,14:06
36300,2019-10-06,14:09
5900,2019-10-07,00:50
7200,2019-10-07,12:28
4900,2019-10-07,13:45
5000,2019-10-05,15:08
20300,2019-10-06,00:46
42800,2019-10-06,02:05
7000,2019-10-06,04:53
6100,2019-10-06,05:59
5700,2019-10-06,06:29
8200,2019-10-06,07:02
27400,2019-10-06,07:20
41200,2019-10-06,14:06
32600,2019-10-06,14:09
36300,2019-10-07,00:50
5900,2019-10-07,12:28
7200,2019-10-07,13:45
4900,2019-10-07,14:00
5000,2019-10-07,15:01
20300,2019-10-08,05:43
5500,2019-10-08,05:44
11000,2019-10-08,05:44
27700,2019-10-06,04:53
13000,2019-10-06,05:59
8200,2019-10-06,06:29
27400,2019-10-06,07:02
41200,2019-10-06,07:20
32600,2019-10-06,14:06
36300,2019-10-06,14:09
5900,2019-10-07,00:50
7200,2019-10-07,12:28
4900,2019-10-07,13:45
5000,2019-10-07,14:00
20300,2019-10-07,15:01
5500,2019-10-08,05:43
11000,2019-10-08,05:44
27700,2019-10-08,05:44
13000,2019-10-09,03:22
7200,2019-10-09,04:45
34700,2019-10-09,11:00
9300,2019-10-09,15:21
26500,2019-10-06,07:20
36300,2019-10-06,14:06
5900,2019-10-06,14:09
7200,2019-10-07,00:50
4900,2019-10-07,12:28
5000,2019-10-07,13:45
20300,2019-10-07,14:00
5500,2019-10-07,15:01
11000,2019-10-08,05:43
27700,2019-10-08,05:44
13000,2019-10-08,05:44
7200,2019-10-09,03:22
34700,2019-10-09,04:45
9300,2019-10-09,11:00
26500,2019-10-09,15:21
7200,2019-10-10,00:59
6800,2019-10-11,10:35
5400,2019-10-13,01:30
6400,2019-10-14,05:40
5300,2019-10-07,13:45
20300,2019-10-07,14:00
5500,2019-10-07,15:01
11000,2019-10-08,05:43
27700,2019-10-08,05:44
13000,2019-10-08,05:44
7200,2019-10-09,03:22
34700,2019-10-09,04:45
9300,2019-10-09,11:00
26500,2019-10-09,15:21
7200,2019-10-10,00:59
6800,2019-10-11,10:35
5400,2019-10-13,01:30
6400,2019-10-14,05:40
5300,2019-10-15,06:25
22800,2019-10-18,10:21
8800,2019-10-18,13:05
16500,2019-10-18,14:14
9000,2019-10-19,03:19
20300,2019-10-08,05:44
5500,2019-10-09,03:22
11000,2019-10-09,04:45
