,Views,Date,Time
0,1.8K,2019-06-11,22:50
1,2.4K,2019-06-11,23:10
2,2.6K,2019-06-11,23:19
3,2.7K,2019-06-11,23:29
4,3.0K,2019-06-11,23:46
5,2.7K,2019-06-11,23:55
6,3.3K,2019-06-11,00:18
7,3.6K,2019-06-11,00:32
8,4.0K,2019-06-11,00:40
9,4.1K,2019-06-11,00:51
10,4.8K,2019-06-11,00:53
11,5.8K,2019-06-11,01:11
12,5.9K,2019-06-11,01:40
13,6.0K,2019-06-11,07:57
14,6.1K,2019-06-12,08:03
15,6.2K,2019-06-12,08:31
16,6.9K,2019-06-12,08:40
17,6.8K,2019-06-12,08:53
18,10.6K,2019-06-12,09:15
19,6.8K,2019-06-12,09:16
20,7.4K,2019-06-12,09:19
21,8.1K,2019-06-12,09:22
22,9.0K,2019-06-12,09:42
23,7.7K,2019-06-12,09:44
24,28.5K,2019-06-12,09:52
25,7.7K,2019-06-12,10:03
26,8.8K,2019-06-12,10:18
27,11.3K,2019-06-12,10:20
28,10.8K,2019-06-12,10:25
29,8.6K,2019-06-12,10:32
30,9.8K,2019-06-12,10:41
31,8.5K,2019-06-12,10:46
32,30.1K,2019-06-12,10:49
33,11.8K,2019-06-12,10:55
34,20.4K,2019-06-12,10:59
35,12.1K,2019-06-12,11:00
36,8.9K,2019-06-12,11:10
37,9.3K,2019-06-12,11:41
38,10.4K,2019-06-12,11:44
39,9.6K,2019-06-12,11:46
40,7.4K,2019-06-12,09:19
41,8.1K,2019-06-12,09:22
42,9.0K,2019-06-12,09:42
43,7.7K,2019-06-12,09:44
44,28.5K,2019-06-12,09:52
45,7.7K,2019-06-12,10:03
46,8.8K,2019-06-12,10:18
47,11.3K,2019-06-12,10:20
48,10.8K,2019-06-12,10:25
49,8.6K,2019-06-12,10:32
50,9.8K,2019-06-12,10:41
51,8.5K,2019-06-12,10:46
52,30.1K,2019-06-12,10:49
53,11.8K,2019-06-12,10:55
54,20.4K,2019-06-12,10:59
55,12.1K,2019-06-12,11:00
56,8.9K,2019-06-12,11:10
57,9.3K,2019-06-12,11:41
58,10.4K,2019-06-12,11:44
59,9.6K,2019-06-12,11:46
60,9.5K,2019-06-12,11:58
61,12.3K,2019-06-12,12:03
62,10.1K,2019-06-12,12:14
63,12.6K,2019-06-12,12:16
64,20.1K,2019-06-12,12:36
65,14.2K,2019-06-12,12:44
66,13.6K,2019-06-12,12:47
67,14.0K,2019-06-12,12:52
68,12.5K,2019-06-12,12:53
69,13.4K,2019-06-12,13:07
70,12.2K,2019-06-12,14:21
71,12.6K,2019-06-12,14:23
72,11.8K,2019-06-12,14:52
73,17.7K,2019-06-12,14:55
74,14.6K,2019-06-12,15:01
75,16.3K,2019-06-12,15:11
76,17.3K,2019-06-12,15:12
77,13.0K,2019-06-12,15:24
78,13.2K,2019-06-12,15:29
79,11.4K,2019-06-12,15:35
80,9.8K,2019-06-12,10:41
81,8.5K,2019-06-12,10:46
82,30.1K,2019-06-12,10:49
83,11.8K,2019-06-12,10:55
84,20.4K,2019-06-12,10:59
85,12.1K,2019-06-12,11:00
86,8.9K,2019-06-12,11:10
87,9.3K,2019-06-12,11:41
88,10.4K,2019-06-12,11:44
89,9.6K,2019-06-12,11:46
90,9.5K,2019-06-12,11:58
91,12.3K,2019-06-12,12:03
92,10.1K,2019-06-12,12:14
93,12.6K,2019-06-12,12:16
94,20.1K,2019-06-12,12:36
95,14.2K,2019-06-12,12:44
96,13.6K,2019-06-12,12:47
97,14.0K,2019-06-12,12:52
98,12.5K,2019-06-12,12:53
99,13.4K,2019-06-12,13:07
100,12.2K,2019-06-12,14:21
101,12.6K,2019-06-12,14:23
102,11.8K,2019-06-12,14:52
103,17.7K,2019-06-12,14:55
104,14.6K,2019-06-12,15:01
105,16.3K,2019-06-12,15:11
106,17.3K,2019-06-12,15:12
107,13.0K,2019-06-12,15:24
108,13.2K,2019-06-12,15:29
109,11.4K,2019-06-12,15:35
110,14.2K,2019-06-12,15:45
111,14.2K,2019-06-12,15:45
112,12.0K,2019-06-12,15:47
113,13.6K,2019-06-12,15:51
114,12.4K,2019-06-12,16:00
115,12.1K,2019-06-12,16:02
116,11.7K,2019-06-12,16:15
117,12.0K,2019-06-12,16:28
118,11.7K,2019-06-12,16:30
119,12.6K,2019-06-12,16:31
120,9.6K,2019-06-12,11:46
121,9.5K,2019-06-12,11:58
122,12.3K,2019-06-12,12:03
123,10.1K,2019-06-12,12:14
124,12.6K,2019-06-12,12:16
125,20.1K,2019-06-12,12:36
126,14.2K,2019-06-12,12:44
127,13.6K,2019-06-12,12:47
128,14.0K,2019-06-12,12:52
129,12.5K,2019-06-12,12:53
130,13.4K,2019-06-12,13:07
131,12.2K,2019-06-12,14:21
132,12.6K,2019-06-12,14:23
133,11.8K,2019-06-12,14:52
134,17.7K,2019-06-12,14:55
135,14.6K,2019-06-12,15:01
136,16.3K,2019-06-12,15:11
137,17.3K,2019-06-12,15:12
138,13.0K,2019-06-12,15:24
139,13.2K,2019-06-12,15:29
140,13.4K,2019-06-12,13:07
141,12.2K,2019-06-12,14:21
142,12.6K,2019-06-12,14:23
143,11.8K,2019-06-12,14:52
144,17.7K,2019-06-12,14:55
145,14.6K,2019-06-12,15:01
146,16.3K,2019-06-12,15:11
147,17.3K,2019-06-12,15:12
148,13.0K,2019-06-12,15:24
149,13.2K,2019-06-12,15:29
150,11.4K,2019-06-12,15:35
151,14.2K,2019-06-12,15:45
152,14.2K,2019-06-12,15:45
153,12.0K,2019-06-12,15:47
154,13.6K,2019-06-12,15:51
155,12.4K,2019-06-12,16:00
156,12.1K,2019-06-12,16:02
157,11.7K,2019-06-12,16:15
158,12.0K,2019-06-12,16:28
159,11.7K,2019-06-12,16:30
160,11.4K,2019-06-12,15:35
161,14.2K,2019-06-12,15:45
162,14.2K,2019-06-12,15:45
163,12.0K,2019-06-12,15:47
164,13.6K,2019-06-12,15:51
165,12.4K,2019-06-12,16:00
166,12.1K,2019-06-12,16:02
167,11.7K,2019-06-12,16:15
168,12.0K,2019-06-12,16:28
169,11.7K,2019-06-12,16:30
170,12.6K,2019-06-12,16:31
171,16.0K,2019-06-12,16:31
172,12.3K,2019-06-12,16:38
173,14.8K,2019-06-12,16:42
174,22.5K,2019-06-12,16:45
175,12.6K,2019-06-12,16:55
176,12.6K,2019-06-12,16:57
